MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
BANABUIÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-01,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-01,M,32
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-01,M,31
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-01,M,13
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-01,M,32
CAMPOS SALES,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-01,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-02,M,40
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-02,M,35
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-02,M,21
MARCO,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-03,M,28
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-03,M,32
TRAIRI,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-03,F,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-03,M,23
CASCAVEL,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-04,M,16
CASCAVEL,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-04,M,-
PARAMBU,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-04,M,31
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-04,M,46
CASCAVEL,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-04,M,39
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-04,M,49
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-04,M,29
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-05,M,31
NOVA JAGUARIBARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-05,M,39
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-05,M,42
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-05,M,23
BREJO SANTO,FEMINICIDIO,ARMA DE FOGO,2019-11-06,F,10
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-06,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-06,M,22
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-06,F,22
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-06,M,19
MASSAPÊ,HOMICIDIO DOLOSO,OUTROS MEIOS,2019-11-06,F,24
QUITERIANÓPOLIS,HOMICIDIO DOLOSO,ARMA BRANCA,2019-11-07,F,30
SÃO JOÃO DO JAGUARIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-07,M,40
SOBRAL,HOMICIDIO DOLOSO,OUTROS MEIOS,2019-11-07,M,23
QUIXADÁ,HOMICIDIO DOLOSO,ARMA BRANCA,2019-11-08,M,14
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-08,M,17
FORTALEZA,HOMICIDIO DOLOSO,OUTROS MEIOS,2019-11-08,M,31
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-08,M,26
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-08,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-08,M,31
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-09,M,22
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-09,M,-
MILHÃ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-09,M,45
SANTANA DO ACARAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-09,M,31
SANTANA DO ACARAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-09,M,17
CHORÓ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-09,M,31
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-09,M,20
MULUNGU,HOMICIDIO DOLOSO,ARMA BRANCA,2019-11-09,M,26
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-09,M,27
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-09,M,19
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-09,M,52
GRANJA,HOMICIDIO DOLOSO,ARMA BRANCA,2019-11-09,M,27
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-10,F,33
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-10,M,28
CARNAUBAL,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA BRANCA,2019-11-10,M,20
SANTA QUITÉRIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-10,M,25
MARCO,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-10,M,19
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-10,M,22
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-10,F,16
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-10,F,16
TRAIRI,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-10,M,20
CASCAVEL,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-10,M,26
CASCAVEL,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-10,F,35
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-10,M,30
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-11,M,40
PARACURU,HOMICIDIO DOLOSO,ARMA BRANCA,2019-11-11,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-11,M,19
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-11,M,29
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-11,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-11,M,21
MARCO,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-11,M,36
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-11,M,24
FORTALEZA,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2019-11-12,M,72
JAGUARUANA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-12,M,40
ORÓS,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-12,M,51
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-11-12,M,26
