MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-01,M,16
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-01,F,39
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-01,M,24
ICÓ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-01,M,50
TIANGUÁ,HOMICIDIO DOLOSO,ARMA BRANCA,2019-08-01,M,35
BANABUIÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-01,M,24
MONSENHOR TABOSA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-02,M,39
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-02,M,36
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-02,M,33
MARANGUAPE,HOMICIDIO DOLOSO,ARMA BRANCA,2019-08-03,M,33
MADALENA,HOMICIDIO DOLOSO,ARMA BRANCA,2019-08-03,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-03,M,24
TURURU,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-03,M,23
QUIXADÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-03,F,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-03,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-04,M,32
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-04,M,22
HORIZONTE,HOMICIDIO DOLOSO,ARMA BRANCA,2019-08-04,M,51
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2019-08-04,F,47
TRAIRI,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-04,M,20
AURORA,HOMICIDIO DOLOSO,ARMA BRANCA,2019-08-04,M,36
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-04,M,32
CASCAVEL,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-05,M,23
PARACURU,HOMICIDIO DOLOSO,ARMA BRANCA,2019-08-05,M,29
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-05,M,26
CASCAVEL,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-05,M,23
FORTALEZA,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2019-08-05,M,22
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-05,M,19
CAPISTRANO,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-06,M,42
ITAPAJÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-06,M,40
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2019-08-06,M,29
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA BRANCA,2019-08-06,M,61
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-06,M,41
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-06,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-06,M,21
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-07,M,65
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-08,M,22
ACARAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-08,M,17
ALTO SANTO,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-08,M,35
MORADA NOVA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-08,M,34
MORADA NOVA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-08,M,38
TRAIRI,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-08,M,55
ALTO SANTO,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-09,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-09,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-09,M,24
GUAIÚBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-09,F,48
GUAIÚBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-09,M,55
CAUCAIA,HOMICIDIO DOLOSO,OUTROS,2019-08-09,M,25
DEP. IRAPUAN PINHEIRO,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-10,M,24
ITAPIPOCA,HOMICIDIO DOLOSO,OUTROS,2019-08-10,M,44
MARACANAÚ,HOMICIDIO DOLOSO,ARMA BRANCA,2019-08-10,M,41
QUIXADÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-10,M,23
ARACATI,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-10,M,27
ARACATI,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-10,F,23
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-10,M,17
ASSARÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-10,M,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-11,M,24
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-11,M,-
NOVA RUSSAS,LESÃO CORPORAL SEGUIDA DE MORTE,OUTROS,2019-08-11,M,41
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-11,M,41
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-11,M,31
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-11,M,30
MARACANAÚ,HOMICIDIO DOLOSO,OUTROS,2019-08-11,M,29
SÃO GONÇALO DO AMARANTE,HOMICIDIO DOLOSO,ARMA BRANCA,2019-08-12,M,32
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-12,M,39
CARIDADE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-08-12,M,23
