MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
ASSARÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-01,M,50
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-01,M,22
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2019-09-01,M,39
IGUATU,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-01,M,41
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2019-09-01,M,64
CAUCAIA,HOMICIDIO DOLOSO,OUTROS MEIOS,2019-09-01,M,62
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-02,M,26
ITAITINGA,HOMICIDIO DOLOSO,ARMA BRANCA,2019-09-02,M,40
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2019-09-02,M,-
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-02,M,36
ACARAÚ,HOMICIDIO DOLOSO,OUTROS MEIOS,2019-09-02,M,31
JAGUARIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-02,M,37
GUAIÚBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-03,M,22
SOLONÓPOLE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-03,M,18
PEDRA BRANCA,FEMINICÍDIO,ARMA BRANCA,2019-09-04,F,44
SOLONÓPOLE,HOMICIDIO DOLOSO,ARMA BRANCA,2019-09-04,M,51
FORTALEZA,HOMICIDIO DOLOSO,OUTROS MEIOS,2019-09-04,M,24
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-04,M,23
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-04,M,16
FORQUILHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-04,M,29
SOBRAL,HOMICIDIO DOLOSO,ARMA BRANCA,2019-09-05,M,53
GUAIÚBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-05,M,40
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-05,M,19
FORTALEZA,FEMINICÍDIO,ARMA DE FOGO,2019-09-05,F,32
SÃO GONÇALO DO AMARANTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-05,M,20
TAMBORIL,FEMINICÍDIO,ARMA BRANCA,2019-09-05,F,20
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-05,M,23
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-06,M,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-06,F,20
CAUCAIA,HOMICIDIO DOLOSO,OUTROS MEIOS,2019-09-06,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-06,M,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-06,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2019-09-06,M,58
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2019-09-06,M,25
MARCO,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-07,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-07,M,23
FORQUILHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-07,M,32
BEBERIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2019-09-07,M,41
