MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-01,M,18
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-01,M,36
QUIXERÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-01,M,30
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-01,M,19
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-01,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-01,M,30
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-01,M,13
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-01,M,19
MUCAMBO,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-01,M,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-02,M,41
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-02,M,20
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-02,M,28
IBICUITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-02,M,24
IBICUITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-02,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-02,M,34
SÃO GONÇALO DO AMARANTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-02,M,25
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-02,M,26
ITAPIPOCA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-02,M,28
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-02,M,22
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-02,M,28
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA BRANCA,2020-04-02,M,56
IBICUITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-02,M,17
TIANGUÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-03,M,23
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-03,M,21
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-03,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2020-04-03,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-03,M,17
TRAIRI,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-03,M,46
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-03,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-03,M,32
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-03,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-03,M,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-03,M,22
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-03,M,14
CAMPOS SALES,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-04,M,23
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-04,M,49
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-04,M,27
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-04,M,24
REDENÇÃO,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-04,M,28
MASSAPÊ,HOMICIDIO DOLOSO,ARMA BRANCA,2020-04-04,M,26
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-04,M,24
FORTALEZA,HOMICIDIO DOLOSO,OUTROS MEIOS,2020-04-04,M,18
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-04,M,22
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-04,M,18
MILHÃ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-04,M,33
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-04,F,35
ARACOIABA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-04,M,42
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-04,M,21
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-04,M,28
SOBRAL,FEMINICÍDIO,ARMA DE FOGO,2020-04-05,F,17
GUARACIABA DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-05,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-05,M,31
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-05,M,22
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-05,M,20
CEDRO,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-05,M,18
AQUIRAZ,HOMICIDIO DOLOSO,ARMA BRANCA,2020-04-05,F,28
MARANGUAPE,HOMICIDIO DOLOSO,ARMA BRANCA,2020-04-05,M,30
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-05,M,28
BATURITÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-05,M,35
JAGUARUANA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-05,M,43
ITAPIPOCA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-05,M,38
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-05,M,27
AMONTADA,HOMICIDIO DOLOSO,ARMA BRANCA,2020-04-05,M,42
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-05,M,33
FORQUILHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-05,M,19
FORTALEZA,LESAO CORPORAL SEGUIDA DE MORTE,OUTROS MEIOS,2020-04-05,M,41
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-05,M,49
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-05,M,22
MARACANAÚ,HOMICIDIO DOLOSO,OUTROS MEIOS,2020-04-05,F,37
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2020-04-06,M,28
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-06,M,37
VÁRZEA ALEGRE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-06,M,24
CEDRO,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-06,M,24
BOA VIAGEM,HOMICIDIO DOLOSO,ARMA BRANCA,2020-04-06,M,43
ORÓS,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-06,M,26
ORÓS,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-06,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-06,F,72
CAUCAIA,HOMICIDIO DOLOSO,OUTROS MEIOS,2020-04-06,M,84
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-07,M,38
MARCO,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-07,F,35
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-07,M,-
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-07,M,27
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-07,M,16
CASCAVEL,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-07,M,55
ITAREMA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-07,M,17
SÃO JOÃO DO JAGUARIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-07,M,26
ITAREMA,HOMICIDIO DOLOSO,ARMA BRANCA,2020-04-07,M,15
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-07,M,37
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-07,M,21
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-07,M,27
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-08,M,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-08,F,16
MARCO,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-08,M,40
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-08,M,19
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-08,M,24
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-08,F,21
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-08,M,-
MARANGUAPE,HOMICIDIO DOLOSO,ARMA BRANCA,2020-04-08,M,26
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-08,M,18
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-08,M,20
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-08,M,23
MARCO,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-08,M,53
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-08,M,28
ITAREMA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-08,M,15
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-08,M,32
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-08,M,33
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-04-08,M,16
