MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-01,M,28
JAGUARIBARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-01,M,25
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-01,M,38
LAVRAS DA MANGABEIRA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-01,M,14
NOVA OLINDA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-01,M,38
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-01,M,20
CARIRÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-02,M,29
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-02,M,19
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-02,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-02,M,35
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-02,M,38
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-02,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-02,F,38
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-02,M,21
SOLONÓPOLE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-02,M,30
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-02,M,18
MARACANAÚ,HOMICIDIO DOLOSO,ARMA BRANCA,2020-12-03,M,-
CAUCAIA,HOMICIDIO DOLOSO,ARMA BRANCA,2020-12-03,M,-
CAUCAIA,HOMICIDIO DOLOSO,ARMA BRANCA,2020-12-03,M,-
ACARAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-03,M,23
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-03,M,26
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-03,M,44
PARAIPABA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-03,M,31
FORTALEZA,HOMICIDIO DOLOSO,OUTROS MEIOS,2020-12-03,M,78
FRECHEIRINHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-03,M,26
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-04,M,38
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-04,M,35
PALMÁCIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-04,M,20
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-04,M,38
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-04,F,36
JAGUARIBE,HOMICIDIO DOLOSO,ARMA BRANCA,2020-12-04,M,59
UMIRIM,HOMICIDIO DOLOSO,ARMA BRANCA,2020-12-04,M,60
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-04,M,46
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-04,M,26
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-04,M,22
CARIDADE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-04,F,15
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-04,M,26
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-04,M,68
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-04,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-04,F,27
JUCÁS,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-04,M,46
SÃO JOÃO DO JAGUARIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-04,M,25
CRATEÚS,HOMICIDIO DOLOSO,OUTROS MEIOS,2020-12-05,M,54
VIÇOSA DO CEARÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-05,M,20
SÃO GONÇALO DO AMARANTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-05,M,24
CARIDADE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-05,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-05,M,28
ICÓ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-05,M,20
SANTA QUITÉRIA,HOMICIDIO DOLOSO,ARMA BRANCA,2020-12-05,F,16
MAURITI,HOMICIDIO DOLOSO,OUTROS MEIOS,2020-12-05,M,-
RERIUTABA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-05,M,33
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-05,M,26
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-05,M,25
SÃO BENEDITO,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-05,M,19
VIÇOSA DO CEARÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-05,M,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-05,M,18
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-05,M,15
CASCAVEL,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-05,M,18
CHOROZINHO,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-05,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-05,M,21
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-05,M,42
CASCAVEL,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-05,M,25
SÃO JOÃO DO JAGUARIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-06,M,33
ITAPIPOCA,HOMICIDIO DOLOSO,ARMA DE FOGO,2020-12-06,M,29
