MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-01,M,17
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-01,M,39
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-01,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-01,M,-
BARROQUINHA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-09-01,F,17
IBICUITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-01,M,41
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-01,M,25
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-01,M,32
SÃO GONÇALO DO AMARANTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-01,M,26
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-01,M,30
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-01,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-01,M,22
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-01,M,19
SÃO LUÍS DO CURU,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-01,M,44
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-01,M,41
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2017-09-01,M,26
CAUCAIA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-09-01,F,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-02,M,30
CASCAVEL,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2017-09-02,M,52
PARAIPABA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-02,M,20
SOBRAL,HOMICIDIO DOLOSO,ARMA BRANCA,2017-09-02,M,31
SOLONÓPOLE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-02,M,31
CHOROZINHO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-02,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-02,M,21
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-02,M,20
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-02,M,23
ARACATI,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-02,M,29
CHORÓ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-02,M,26
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-02,M,24
PARAIPABA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-02,M,20
CHOROZINHO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-02,M,29
ACARAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-02,M,15
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-02,M,25
MAURITI,HOMICIDIO DOLOSO,OUTROS,2017-09-02,M,16
TRAIRI,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-02,M,26
MORADA NOVA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-09-02,M,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-02,M,15
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-02,M,32
FORTALEZA,ROUBO SEGUIDO DE MORTE (LATROCINIO),OUTROS,2017-09-02,M,55
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-03,M,27
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-03,M,19
ACOPIARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-03,M,35
APUIARÉS,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-03,M,18
AQUIRAZ,HOMICIDIO DOLOSO,OUTROS,2017-09-03,M,-
CRATEÚS,HOMICIDIO DOLOSO,ARMA BRANCA,2017-09-03,M,33
CAPISTRANO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-03,M,17
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-03,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-03,M,24
MORADA NOVA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-03,M,40
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-03,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-03,M,45
IGUATU,HOMICIDIO DOLOSO,ARMA BRANCA,2017-09-03,F,54
CRATEÚS,HOMICIDIO DOLOSO,OUTROS,2017-09-03,F,16
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-03,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-03,M,32
MONSENHOR TABOSA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-03,F,73
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-03,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-03,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-03,M,19
CARIRÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-03,M,32
TRAIRI,HOMICIDIO DOLOSO,ARMA BRANCA,2017-09-03,M,50
PENTECOSTE,HOMICIDIO DOLOSO,ARMA BRANCA,2017-09-04,M,56
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-04,M,39
ASSARÉ,HOMICIDIO DOLOSO,ARMA BRANCA,2017-09-04,M,28
QUIXERÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-04,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-04,M,14
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2017-09-04,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-04,M,31
ACARAÚ,HOMICIDIO DOLOSO,ARMA BRANCA,2017-09-04,M,42
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-04,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-04,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2017-09-05,M,-
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-05,M,36
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-05,M,26
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-05,M,19
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-05,M,19
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-05,M,16
PIQUET CARNEIRO,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-05,M,18
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2017-09-05,M,49
