MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-01,M,19
SANTA QUITÉRIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-01,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-01,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-01,M,34
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-01,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-01,M,37
SANTA QUITÉRIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-01,M,16
COREAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-01,F,29
GENERAL SAMPAIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-01,M,19
JAGUARETAMA,HOMICIDIO DOLOSO,ARMA BRANCA,2018-07-01,M,30
FORTIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,M,22
IPUEIRAS,HOMICIDIO DOLOSO,OUTROS,2018-07-02,M,40
MARACANAÚ,HOMICIDIO DOLOSO,ARMA BRANCA,2018-07-02,M,28
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,M,53
SENADOR POMPEU,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,M,22
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,F,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,F,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,M,22
AURORA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,M,-
QUIXADÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,M,40
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,M,20
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,M,30
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,M,46
SÃO BENEDITO,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,M,47
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,M,38
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,M,25
IGUATU,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,M,20
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,M,23
ARACATI,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,M,34
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,M,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,F,37
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-02,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-03,F,16
JAGUARUANA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-03,M,43
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-03,M,36
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-03,M,36
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-03,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-03,F,16
QUIXADÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-03,M,73
ITAPIÚNA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-03,F,36
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-04,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-04,M,22
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2018-07-04,M,14
ACARAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-04,M,51
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-04,M,30
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2018-07-04,M,28
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-04,M,15
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-04,M,57
ITAREMA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-04,M,27
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-05,M,46
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-05,M,28
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-05,M,31
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-05,M,40
GUAIÚBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-05,M,25
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-05,M,-
QUIXERAMOBIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-05,M,30
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-05,M,43
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-05,M,50
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-05,M,26
MASSAPÊ,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA BRANCA,2018-07-05,M,22
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-05,M,27
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-05,M,20
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-05,F,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-05,M,38
CARIRIAÇU,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-05,M,-
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-05,M,41
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-05,F,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-05,M,48
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-05,M,45
COREAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-06,M,31
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-06,F,21
QUIXERÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-06,M,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-06,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-06,M,22
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-06,M,17
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-06,M,25
JUCÁS,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-06,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-06,M,18
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-06,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-06,F,39
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-06,M,24
CEDRO,HOMICIDIO DOLOSO,ARMA BRANCA,2018-07-06,M,20
PARACURU,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-06,M,16
CAMPOS SALES,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-07,M,23
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-07,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-07,M,33
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2018-07-07,M,-
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-07,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-07,M,18
CASCAVEL,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-07,M,18
CAMPOS SALES,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-07,M,17
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-07,M,19
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-07,M,21
SÃO GONÇALO DO AMARANTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-07,F,24
PENTECOSTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-07,M,28
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-07,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-07,F,36
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-08,M,28
CASCAVEL,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-08,M,21
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-08,M,36
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-08,M,36
BARREIRA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-08,M,29
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-08,M,17
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-08,M,27
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-08,M,33
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-08,M,17
TAMBORIL,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-08,M,31
TIANGUÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-08,F,42
BARREIRA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-08,M,20
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-08,M,21
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-08,M,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-09,F,15
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-09,M,40
MARACANAÚ,HOMICIDIO DOLOSO,ARMA BRANCA,2018-07-09,M,48
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-09,M,36
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-09,M,16
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-09,M,34
CHOROZINHO,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-09,M,15
QUIXADÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-09,M,21
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-09,M,20
MILAGRES,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-09,M,19
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-09,F,40
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-07-09,M,27
