MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
GUAIÚBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-01,M,25
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-01,M,31
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-01,M,34
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-01,M,-
SANTANA DO ACARAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-01,M,32
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-01,M,24
SANTANA DO ACARAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-01,M,18
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-01,M,36
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-01,M,47
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-01,M,22
BELA CRUZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-01,F,45
NOVA RUSSAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-01,M,16
SALITRE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-01,M,73
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-01,F,18
TIANGUÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-01,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2018-03-02,M,38
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-02,M,22
BOA VIAGEM,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-02,M,25
ORÓS,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-02,M,34
IPAPORANGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-02,F,36
GRANJA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-02,M,50
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-02,M,15
SOBRAL,FEMINICÍDIO,OUTROS,2018-03-02,F,-
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-02,M,16
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-02,M,18
FORTIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-02,M,22
CASCAVEL,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-02,M,20
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-03,M,18
CARIDADE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-03,M,28
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-03,F,19
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-03,M,-
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-03,F,30
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-03,F,40
IPUEIRAS,HOMICIDIO DOLOSO,OUTROS,2018-03-03,M,51
SENADOR POMPEU,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-03,M,22
GUARAMIRANGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-03,M,33
IPAPORANGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-03-03,M,75
