MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-04-01,M,24
SOBRAL,HOMICIDIO DOLOSO,ARMA BRANCA,2018-04-01,M,37
RERIUTABA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-04-01,M,28
REDENÇÃO,HOMICIDIO DOLOSO,ARMA BRANCA,2018-04-01,M,32
QUIXERÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-04-01,M,18
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-04-01,M,22
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-04-01,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-04-01,M,42
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-04-01,M,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-04-01,M,40
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-04-01,M,15
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-04-01,M,42
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-04-01,M,18
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-04-01,M,15
TURURU,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-04-01,M,25
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-04-01,F,54
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-04-01,M,54
BARBALHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-04-01,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-04-01,M,32
GUARACIABA DO NORTE,HOMICIDIO DOLOSO,ARMA BRANCA,2018-04-02,M,51
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-04-02,M,37
