MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-01,M,36
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-01,M,48
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-01,M,28
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-01,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-01,M,32
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-02,M,43
LAVRAS DA MANGABEIRA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-02,M,42
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-02,M,27
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-02,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-02,M,52
TIANGUÁ,HOMICIDIO DOLOSO,ARMA BRANCA,2018-05-02,M,37
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-02,M,18
CHOROZINHO,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-02,M,45
RUSSAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-02,M,18
APUIARÉS,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-02,M,38
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-02,M,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-02,M,23
TRAIRI,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-03,M,20
CARIÚS,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-03,F,34
HORIZONTE,HOMICIDIO DOLOSO,ARMA BRANCA,2018-05-03,M,44
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-03,M,18
TRAIRI,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-03,F,27
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-03,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-03,M,40
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-03,M,37
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-03,M,31
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-03,M,40
CAUCAIA,HOMICIDIO DOLOSO,ARMA BRANCA,2018-05-03,F,-
RUSSAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-03,M,48
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-04,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-04,F,13
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-04,M,30
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-04,M,18
SÃO GONÇALO DO AMARANTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-04,M,20
ITAREMA,HOMICIDIO DOLOSO,OUTROS,2018-05-04,M,18
ACARAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-04,M,27
BATURITÉ,HOMICIDIO DOLOSO,ARMA BRANCA,2018-05-04,M,-
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-04,M,37
CHOROZINHO,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-04,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-04,M,31
BOA VIAGEM,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-04,M,65
ITAPAJÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-04,M,20
FRECHEIRINHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-05,M,31
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-05,M,37
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-05,M,19
SÃO GONÇALO DO AMARANTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-05,M,43
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,OUTROS,2018-05-05,M,46
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-05,M,36
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-05,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-05,M,-
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-06,M,24
BELA CRUZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-06,M,35
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-06,M,23
CRATEÚS,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-05-06,M,22
CHOROZINHO,HOMICIDIO DOLOSO,ARMA BRANCA,2018-05-06,M,54
