MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-01,M,50
GRAÇA,HOMICIDIO DOLOSO,ARMA BRANCA,2018-06-01,M,31
MARCO,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-01,M,32
QUIXADÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-01,M,35
CAPISTRANO,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-01,M,36
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-01,M,20
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-01,M,21
MISSÃO VELHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-01,M,44
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-01,M,22
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-01,F,79
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-01,M,18
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-01,F,23
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-01,M,16
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-02,M,23
QUITERIANÓPOLIS,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-02,M,26
CARIDADE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-02,M,19
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-02,M,36
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-02,M,40
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2018-06-02,F,35
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-02,M,36
NOVO ORIENTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-02,M,54
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2018-06-02,M,44
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-02,M,21
IGUATU,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-02,M,33
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-02,F,32
IGUATU,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-02,M,36
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-02,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-02,F,30
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2018-06-03,F,26
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-03,M,39
CATUNDA,HOMICIDIO DOLOSO,ARMA BRANCA,2018-06-03,M,39
BANABUIÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-03,M,28
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2018-06-03,M,-
ITAITINGA,HOMICIDIO DOLOSO,OUTROS,2018-06-03,M,36
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-03,M,30
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-03,M,35
CAMPOS SALES,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-03,M,39
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-03,M,38
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-03,M,31
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-03,M,22
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-03,M,23
INDEPENDÊNCIA,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA BRANCA,2018-06-03,F,30
QUIXADÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-03,F,22
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-03,M,35
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-03,M,31
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-03,M,20
ARNEIRÓZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-04,M,27
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-04,M,20
IPAUMIRIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-04,M,16
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-04,M,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2018-06-04,M,19
RUSSAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-04,M,56
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-04,M,53
GUAIÚBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-04,M,27
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-04,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-04,M,18
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-04,M,36
ACOPIARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-06-04,M,65
