MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
FORTALEZA,LESÃO CORPORAL SEGUIDA DE MORTE,OUTROS,2018-11-01,M,19
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-01,M,19
PARAMBU,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-01,M,12
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-01,M,38
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-01,M,23
AMONTADA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-01,M,27
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-01,M,27
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-01,M,71
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-01,M,15
PARAMBU,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-01,F,31
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2018-11-01,M,16
MORADA NOVA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-02,M,28
FORQUILHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-02,M,53
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-02,M,36
CARIDADE,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2018-11-02,F,41
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-02,M,21
SÃO GONÇALO DO AMARANTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-02,M,60
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-02,M,40
RERIUTABA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-02,M,34
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-02,M,27
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-02,M,30
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-02,M,21
NOVO ORIENTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-03,M,53
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-03,F,33
VIÇOSA DO CEARÁ,HOMICIDIO DOLOSO,ARMA BRANCA,2018-11-03,M,28
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-03,M,53
SOBRAL,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2018-11-03,M,21
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-03,M,32
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-03,M,29
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-03,M,18
PACATUBA,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2018-11-03,M,63
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2018-11-03,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-03,M,34
MARCO,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-04,M,30
MADALENA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-04,M,47
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2018-11-04,M,46
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-04,M,33
PARACURU,HOMICIDIO DOLOSO,ARMA BRANCA,2018-11-04,M,46
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-04,M,38
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-04,M,30
GUAIÚBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-04,M,17
GUAIÚBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-04,M,34
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-04,M,18
MARCO,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2018-11-04,M,26
FORQUILHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-04,M,17
FORTALEZA,LESÃO CORPORAL SEGUIDA DE MORTE,OUTROS,2018-11-04,M,54
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-04,M,24
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,OUTROS,2018-11-04,M,20
TEJUÇUOCA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-04,M,41
CHOROZINHO,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2018-11-04,F,41
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-04,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-04,F,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2018-11-05,F,41
TIANGUÁ,HOMICIDIO DOLOSO,OUTROS,2018-11-05,M,29
IBICUITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-05,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-05,M,20
JAGUARETAMA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-05,M,52
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-05,M,32
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-05,M,17
IBICUITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-05,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-05,M,24
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-05,M,15
BARBALHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-05,M,36
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-05,M,24
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-11-06,M,35
