MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-01,M,27
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-01,M,21
QUIXERAMOBIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-01,F,23
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-01,M,31
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2018-10-01,M,47
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2018-10-01,M,21
BANABUIÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-01,M,48
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-02,M,28
MORRINHOS,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-02,M,17
JAGUARETAMA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-02,M,46
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-02,M,28
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-02,M,30
GROAÍRAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-02,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-02,M,18
MORRINHOS,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-02,M,18
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-02,F,25
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-02,M,18
BATURITÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-02,M,28
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-02,M,39
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-02,M,17
CATUNDA,LESÃO CORPORAL SEGUIDA DE MORTE,OUTROS,2018-10-03,M,62
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-03,M,17
COREAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-03,M,33
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2018-10-03,M,20
