MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
IPUEIRAS,HOMICIDIO DOLOSO,OUTROS,2016-08-01,M,32
SÃO JOÃO DO JAGUARIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-01,M,17
ASSARÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-01,M,24
ACARAÚ,HOMICIDIO DOLOSO,OUTROS,2016-08-01,M,51
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-01,M,29
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-01,M,21
CRATO,HOMICIDIO DOLOSO,OUTROS,2016-08-01,M,23
ARACATI,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-02,M,22
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-02,M,20
FORTALEZA,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2016-08-02,M,46
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-02,M,44
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-02,M,20
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-02,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-03,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-03,M,17
ARACATI,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-03,M,70
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-03,M,37
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-03,M,19
MAURITI,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-03,M,15
VÁRZEA ALEGRE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-03,M,39
VARJOTA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-03,M,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-03,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-04,M,28
FORTALEZA,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2016-08-04,M,45
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-04,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-04,M,26
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-04,M,-
FORTALEZA,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2016-08-04,M,21
CRATEÚS,HOMICIDIO DOLOSO,OUTROS,2016-08-04,M,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-04,M,18
ARACATI,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-04,M,20
IGUATU,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-04,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-04,M,17
JAGUARETAMA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-05,M,20
MARCO,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2016-08-05,F,56
JAGUARIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-05,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-05,M,-
SOLONÓPOLE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-05,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-05,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-05,M,29
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-05,M,22
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-05,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-05,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-05,M,29
BREJO SANTO,HOMICIDIO DOLOSO,ARMA BRANCA,2016-08-05,M,30
ACOPIARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-06,M,54
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-06,M,36
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-06,M,20
MARACANAÚ,HOMICIDIO DOLOSO,ARMA BRANCA,2016-08-06,M,22
CARIDADE,HOMICIDIO DOLOSO,ARMA BRANCA,2016-08-06,M,45
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-06,M,-
CAMPOS SALES,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-06,M,32
ICÓ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-06,M,41
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-07,M,33
CARIÚS,HOMICIDIO DOLOSO,ARMA BRANCA,2016-08-07,M,53
ACARAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-07,M,57
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2016-08-07,M,26
EUSÉBIO,HOMICIDIO DOLOSO,OUTROS,2016-08-07,M,24
QUIXERAMOBIM,HOMICIDIO DOLOSO,ARMA BRANCA,2016-08-07,M,32
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-08-07,M,32
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-07,M,38
QUIXERAMOBIM,HOMICIDIO DOLOSO,OUTROS,2016-08-07,M,21
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-07,M,28
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-07,M,39
MORADA NOVA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-07,M,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-07,M,34
ITAPAJÉ,HOMICIDIO DOLOSO,OUTROS,2016-08-07,M,68
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-07,M,27
MARCO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-07,M,29
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-07,M,23
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-08,M,29
AURORA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-08,M,18
CRATEÚS,HOMICIDIO DOLOSO,ARMA BRANCA,2016-08-08,M,57
BARREIRA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-08,M,31
IPUEIRAS,HOMICIDIO DOLOSO,ARMA BRANCA,2016-08-08,M,33
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2016-08-08,M,61
MORADA NOVA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-08-08,M,24
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-08,M,41
ITAPIPOCA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-09,M,27
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-09,M,-
RUSSAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-09,M,22
IGUATU,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-09,M,29
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA BRANCA,2016-08-10,M,37
ORÓS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-10,M,16
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-10,M,19
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-10,M,39
JAGUARIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-10,M,48
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-10,M,22
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-10,M,18
IGUATU,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-10,M,14
AIUABA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-10,M,38
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-10,M,22
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-10,M,32
IBIAPINA,HOMICIDIO DOLOSO,OUTROS,2016-08-10,M,71
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-11,M,20
ORÓS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-11,M,51
BATURITÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-11,M,15
ACARAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-11,F,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-11,M,25
ICÓ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-11,M,36
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-11,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-11,M,22
MARACANAÚ,HOMICIDIO DOLOSO,OUTROS,2016-08-11,F,34
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-11,M,25
OCARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-12,M,22
CAMPOS SALES,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-12,M,23
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-12,M,14
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-12,M,37
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-12,M,27
AMONTADA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-12,M,43
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-12,M,-
FORTALEZA,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2016-08-12,M,29
RUSSAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-12,M,40
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-13,M,-
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-13,M,18
TIANGUÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-13,M,33
VÁRZEA ALEGRE,HOMICIDIO DOLOSO,ARMA BRANCA,2016-08-13,M,23
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2016-08-13,M,35
GUARACIABA DO NORTE,HOMICIDIO DOLOSO,OUTROS,2016-08-13,M,37
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-13,M,30
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-13,M,23
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-13,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-13,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-13,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-08-13,M,48
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-13,M,35
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-13,M,16
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-13,M,20
QUIXERÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-13,M,26
RUSSAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-13,M,67
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-13,M,31
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-13,M,27
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-13,M,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-13,M,17
SOBRAL,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-13,M,47
ABAIARA,HOMICIDIO DOLOSO,OUTROS,2016-08-13,F,16
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-13,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-14,M,16
TEJUÇUOCA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-14,M,37
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-08-14,M,15
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-08-14,M,-
