MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-02-01,M,17
CRATO,HOMICIDIO DOLOSO,ARMA BRANCA,2016-02-01,M,28
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-02-01,M,30
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2016-02-01,M,30
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-02-01,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-02-01,M,32
ASSARÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-02-01,M,16
CHOROZINHO,HOMICIDIO DOLOSO,OUTROS,2016-02-01,M,39
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-02-01,M,25
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-02-01,M,32
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-02-02,M,17
ARACOIABA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-02-02,M,65
AQUIRAZ,HOMICIDIO DOLOSO,ARMA BRANCA,2016-02-02,M,20
TAUÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-02-02,M,40
IBICUITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-02-02,M,49
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-02-02,M,18
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-02-03,M,18
TIANGUÁ,HOMICIDIO DOLOSO,ARMA BRANCA,2016-02-03,M,42
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-02-03,M,32
CAUCAIA,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2016-02-03,M,31
IGUATU,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-02-03,M,49
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-02-03,M,20
