MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
CANINDÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-01,M,33
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-01,M,53
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-01,M,22
NOVA JAGUARIBARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-01,M,42
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-01,M,37
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-01,M,17
CAMOCIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-01,M,40
GUARACIABA DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-01,M,21
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-01,M,41
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-01,M,47
BARBALHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-01,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-01,M,24
RUSSAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-02,M,22
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-02,M,26
FORTALEZA,LESÃO CORPORAL SEGUIDA DE MORTE,OUTROS,2016-03-02,M,15
ARACOIABA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-02,M,17
JUCÁS,MORTE SUSPEITA,OUTROS,2016-03-02,M,70
MORADA NOVA,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2016-03-02,M,42
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-02,M,31
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-02,M,53
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-02,M,36
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-02,M,16
MARACANAÚ,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-02,M,42
PACATUBA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-02,M,49
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-03,M,68
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-03,M,-
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-03,M,19
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-03,M,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-04,M,17
IPAPORANGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-04,M,52
ITAPIPOCA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-04,M,49
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-04,M,19
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-04,M,59
TIANGUÁ,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-05,M,24
SÃO BENEDITO,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-05,M,16
CRATEÚS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-05,M,26
IPUEIRAS,HOMICIDIO DOLOSO,OUTROS,2016-03-05,M,45
ITAPIÚNA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-05,M,19
FORTALEZA,LESÃO CORPORAL SEGUIDA DE MORTE,NI,2016-03-05,M,46
INDEPENDÊNCIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-05,M,18
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-05,M,17
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-06,F,25
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-06,M,20
MAURITI,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-06,M,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-06,F,35
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-06,M,28
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2016-03-06,M,74
COREAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-06,M,45
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2016-03-06,M,28
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-06,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-06,M,21
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-06,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-06,M,17
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-06,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-06,M,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-06,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-06,M,16
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-06,F,25
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-06,M,-
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-06,M,31
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-06,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-07,M,36
IRAUÇUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-07,M,18
CAUCAIA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-07,F,39
SOBRAL,HOMICIDIO DOLOSO,OUTROS,2016-03-07,F,1
CRATO,HOMICIDIO DOLOSO,OUTROS,2016-03-08,M,-
FORTALEZA,HOMICIDIO DOLOSO,NI,2016-03-08,M,77
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-08,M,38
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-08,M,-
ITAPAJÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-08,M,21
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-08,M,17
MORADA NOVA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-08,M,15
JARDIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-08,M,24
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-08,M,18
MORADA NOVA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-08,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-09,M,37
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-09,M,30
TIANGUÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-09,M,17
ITAREMA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-09,M,20
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-09,F,52
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-09,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-10,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-10,M,50
REDENÇÃO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-10,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-10,M,25
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-10,M,17
CARIÚS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-10,M,17
RUSSAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-10,M,23
POTIRETAMA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-11,M,58
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-11,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-11,F,27
MIRAÍMA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-11,M,29
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-11,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-11,M,16
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-11,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-11,M,17
QUIXERAMOBIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-12,M,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-12,M,20
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-12,M,21
PEDRA BRANCA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-12,M,25
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-12,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-12,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-12,M,15
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-12,M,34
ARACATI,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-12,M,30
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-12,M,30
PARAIPABA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-12,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-12,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-12,F,29
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-12,M,18
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2016-03-12,M,38
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-12,M,27
SENADOR POMPEU,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-13,M,44
JIJOCA DE JERICOACOARA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-13,M,21
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-13,M,27
ICÓ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-13,M,20
MORADA NOVA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-13,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-13,M,22
MILAGRES,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-13,M,20
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-13,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-13,M,25
IGUATU,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-13,M,36
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-13,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-13,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-13,M,20
CAMPOS SALES,HOMICIDIO DOLOSO,OUTROS,2016-03-13,M,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-13,M,37
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-13,M,55
FORQUILHA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-13,M,19
URUBURETAMA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-13,M,21
TABULEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-13,M,22
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-14,F,21
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-14,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-14,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-14,M,14
QUIXERAMOBIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-14,M,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-14,M,15
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-15,M,28
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-15,M,28
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-15,M,40
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-15,M,-
CRATEÚS,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-16,M,28
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2016-03-16,M,29
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-16,M,30
QUIXADÁ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-16,M,30
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-16,M,27
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-16,M,28
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-16,M,13
CRATEÚS,HOMICIDIO DOLOSO,OUTROS,2016-03-16,M,62
CRATEÚS,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-16,M,50
BREJO SANTO,HOMICIDIO DOLOSO,OUTROS,2016-03-16,F,24
JIJOCA DE JERICOACOARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-16,F,47
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-16,M,16
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-17,M,39
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-17,M,30
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-17,M,31
ITAPIPOCA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-17,M,30
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-17,M,20
JAGUARUANA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-17,M,31
FORQUILHA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-17,M,15
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-17,M,16
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-17,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-17,M,47
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-17,M,42
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-18,M,31
SENADOR POMPEU,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-18,M,30
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-18,M,44
RUSSAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-18,M,25
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-18,M,16
FARIAS BRITO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-18,F,26
JIJOCA DE JERICOACOARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-18,M,19
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-18,M,24
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-18,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-18,M,20
ITAPAJÉ,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-19,M,34
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-19,M,24
FORTALEZA,HOMICIDIO DOLOSO,OUTROS,2016-03-19,M,-
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-19,M,20
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-19,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-19,M,17
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-19,M,21
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-19,M,22
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-19,M,34
MARANGUAPE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-19,M,26
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-20,M,28
MARACANAÚ,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-20,M,40
CHOROZINHO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-20,M,31
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-20,M,35
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-20,M,34
CAMOCIM,HOMICIDIO DOLOSO,OUTROS,2016-03-20,M,41
MARCO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-20,M,45
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-20,M,47
IGUATU,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-20,M,36
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-20,M,18
ITAREMA,LESÃO CORPORAL SEGUIDA DE MORTE,OUTROS,2016-03-20,M,61
CAMOCIM,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-20,M,17
MISSÃO VELHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-20,M,-
JUCÁS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-20,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-20,M,23
RUSSAS,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-20,M,34
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-20,M,-
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-20,M,26
CAUCAIA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-20,M,31
CRATEÚS,HOMICIDIO DOLOSO,OUTROS,2016-03-21,M,53
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-21,M,21
ITATIRA,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-21,M,44
ITAPIÚNA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-21,M,19
CRATO,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-21,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-21,M,54
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-21,M,18
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-21,M,25
RUSSAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-21,M,17
HORIZONTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-21,M,16
QUIXADÁ,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-21,F,26
AURORA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-21,M,21
JUAZEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-21,M,22
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-21,M,36
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-22,M,32
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-22,M,19
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-22,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-22,M,24
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-22,M,42
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-23,M,18
ITAITINGA,LESÃO CORPORAL SEGUIDA DE MORTE,OUTROS,2016-03-23,M,42
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-23,M,17
TRAIRI,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-23,M,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-23,M,29
PARAMBU,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-23,M,48
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-23,M,28
MARACANAÚ,HOMICIDIO DOLOSO,OUTROS,2016-03-24,M,31
SÃO BENEDITO,HOMICIDIO DOLOSO,ARMA BRANCA,2016-03-24,M,26
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-03-24,M,17
