MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-06-01,M,36
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-06-01,M,16
SÃO JOÃO DO JAGUARIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-06-01,M,20
SENADOR POMPEU,HOMICIDIO DOLOSO,ARMA BRANCA,2016-06-01,F,39
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-06-01,M,22
ICÓ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-06-01,M,29
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-06-01,M,18
AQUIRAZ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-06-02,F,1
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-06-02,M,21
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-06-02,M,26
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-06-02,M,23
RUSSAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-06-02,M,26
FORTALEZA,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2016-06-02,M,20
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-06-02,M,30
TRAIRI,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-06-02,M,24
CANINDÉ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-06-02,M,16
TRAIRI,LESÃO CORPORAL SEGUIDA DE MORTE,OUTROS,2016-06-02,M,19
JAGUARETAMA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-06-03,M,21
BATURITÉ,ROUBO SEGUIDO DE MORTE (LATROCINIO),ARMA DE FOGO,2016-06-03,M,54
SÃO LUÍS DO CURU,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-06-03,M,29
ACARAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-06-03,M,17
ITAITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-06-03,M,29
CAMOCIM,HOMICIDIO DOLOSO,ARMA BRANCA,2016-06-03,M,33
IBICUITINGA,HOMICIDIO DOLOSO,ARMA DE FOGO,2016-06-03,M,34
