MUNICIPIO,NATUREZA_FATO,ARMA_UTILIZADA,DATA_MORTE,SEXO,IDADE
JAGUARIBARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-01,M,59
SÃO JOÃO DO JAGUARIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-01,F,59
LIMOEIRO DO NORTE,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-01,F,45
FRECHEIRINHA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-01,M,29
PACATUBA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-01,M,42
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-01,M,42
ARACATI,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-02,M,57
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-02,F,45
ACOPIARA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-02,M,45
BEBERIBE,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-02,M,18
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-02,F,16
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-02,M,32
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-03,M,31
FORTALEZA,FEMINICÍDIO,ARMA DE FOGO,2021-03-03,F,12
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-03,M,20
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-03,M,22
PACAJUS,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-03,M,26
PARACURU,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-04,M,24
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-04,M,45
EUSÉBIO,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-04,M,26
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-04,M,24
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-04,M,26
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-04,F,15
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-04,M,28
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-04,M,17
CAUCAIA,HOMICIDIO DOLOSO,OUTROS MEIOS,2021-03-04,M,34
IPUEIRAS,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-05,M,30
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-05,M,17
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-05,M,29
FORTALEZA,HOMICIDIO DOLOSO,ARMA BRANCA,2021-03-05,F,40
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-05,M,32
MARACANAÚ,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-05,M,23
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-05,M,23
CAUCAIA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-05,M,30
CRATO,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-06,M,21
BOA VIAGEM,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-06,M,35
FORTALEZA,HOMICIDIO DOLOSO,ARMA DE FOGO,2021-03-06,F,40
